feature,missing_count,missing_fraction,min,max,mean,std
relative_spread,0,0.0,4.421458470460493e-07,0.00823285523802042,2.708907912395046e-06,1.8030224809722723e-05
queue_imbalance,0,0.0,-0.9999955892562866,0.9999967217445374,0.007304757851733877,0.723878720294394
log_bid_size,0,0.0,0.0009995002765208483,6.577317237854004,1.19064568549542,0.8145496132038008
log_ask_size,0,0.0,0.0009995002765208483,6.699008941650391,1.1813592242121977,0.8276540029895426
delta_bid_size,1,4.4836377151678125e-09,-716.97998046875,715.4130249023438,2.8060586857791003e-08,1.0653108427232254
delta_ask_size,1,4.4836377151678125e-09,-809.1510009765625,810.5560302734375,3.279685855262033e-07,0.8879183912833123
mid_return_5,5,2.2418188575839063e-08,-0.006152763861852151,0.007218574097231922,1.9850804656930556e-09,1.3052413439156969e-05
realized_vol_20,20,8.967275430335625e-08,0.0,0.006938566814743859,5.1892149474739974e-06,2.68861660265589e-05
trade_intensity_1s,0,0.0,0.0,4172.0,45.235681004151914,81.47530972234595
signed_trade_count_imbalance_1s,0,0.0,-1.0,1.0,-0.0002023134329890429,0.6034552644964625
signed_trade_volume_imbalance_1s,0,0.0,-1.0,1.0,0.005183322038101583,0.7227864495587635
