split,horizon,eligible_only,n_obs,count_down,count_unchanged,count_up,prop_down,prop_unchanged,prop_up,nonzero_fraction,majority_class,majority_class_accuracy
train,10,True,150347491,5389422,139256061,5702008,0.03584643790297771,0.9262280339616709,0.03792552813535146,0.07377196603832917,0,0.9262280339616709
train,20,True,150347491,8565119,132783055,8999317,0.05696881898747482,0.8831743989661922,0.05985678204633292,0.11682560103380774,0,0.8831743989661922
train,50,True,150347491,15798030,118156429,16393032,0.10507677843456663,0.7858889311295524,0.10903429043588096,0.2141110688704476,0,0.7858889311295524
validation,10,True,43970331,6098542,31608052,6263737,0.1386967498607186,0.7188495351558759,0.1424537149834055,0.2811504648441241,0,0.7188495351558759
validation,20,True,43970331,8808169,26108798,9053364,0.200320734451601,0.5937821573369553,0.20589710821144375,0.4062178426630448,0,0.5937821573369553
validation,50,True,43970331,13625741,16423068,13921522,0.3098848857881011,0.37350339709746555,0.31661171711443337,0.6264966029025344,0,0.37350339709746555
test,10,True,28715045,2786138,22914201,3014706,0.09702711592477045,0.7979858990295854,0.10498698504564419,0.20201410097041464,0,0.7979858990295854
test,20,True,28715045,4342719,19689021,4683305,0.15123497107526734,0.6856691675043518,0.16309586142038085,0.3143308324956482,0,0.6856691675043518
test,50,True,28715045,7448765,13437477,7828803,0.2594028670336404,0.46795946166896135,0.2726376712973983,0.5320405383310387,0,0.46795946166896135
