horizon,label,count,proportion
10,-1,14274112,0.06399994691372946
10,0,193778554,0.8688328331050825
10,1,14980519,0.067167219981188
20,-1,21716027,0.09736679768080252
20,0,178581057,0.8006927623797329
20,1,22736101,0.10194043993946461
50,-1,36872586,0.16532331724536867
50,0,148017031,0.6636547426787632
50,1,38143568,0.17102194007586807
